term,crn,cnum,FN,LN,status,regdate,updated
202430,46040,C02435853,Sarah,Johnson,1,2024-08-15,2024-08-15 09:30:00
202430,46040,C02478912,Michael,Chen,1,2024-08-15,2024-08-15 10:15:00
202430,46040,C02512384,Emily,Rodriguez,1,2024-08-16,2024-08-16 11:20:00
202430,46040,C02598721,David,Martinez,1,2024-08-16,2024-08-16 14:05:00
202430,46040,C02645789,Jessica,Lee,2,2024-08-15,2024-12-10 16:45:00
202430,46041,C02435853,Sarah,Johnson,1,2024-08-15,2024-08-15 09:35:00
202430,46041,C02689234,Christopher,Taylor,1,2024-08-17,2024-08-17 08:15:00
202430,46041,C02734598,Amanda,Anderson,1,2024-08-17,2024-08-17 10:30:00
202430,46041,C02789456,Joshua,Thomas,7,2024-08-15,2024-09-05 12:20:00
202430,46041,C02856321,Ashley,White,1,2024-08-18,2024-08-18 11:10:00
202430,46042,C02478912,Michael,Chen,1,2024-08-15,2024-08-15 10:20:00
202430,46042,C02512384,Emily,Rodriguez,1,2024-08-16,2024-08-16 11:25:00
202430,46042,C02923147,Matthew,Harris,1,2024-08-18,2024-08-18 13:40:00
202430,46042,C02978534,Nicole,Martin,1,2024-08-19,2024-08-19 09:50:00
202430,46042,C03025896,Daniel,Garcia,2,2024-08-15,2024-12-10 17:15:00
202510,48123,C02435853,Sarah,Johnson,1,2025-01-10,2025-01-10 08:15:00
202510,48123,C02689234,Christopher,Taylor,1,2025-01-10,2025-01-10 09:30:00
202510,48123,C02856321,Ashley,White,1,2025-01-11,2025-01-11 10:45:00
202510,48123,C03098745,Ryan,Lopez,1,2025-01-11,2025-01-11 14:20:00
202510,48123,C03152349,Brittany,Wilson,1,2025-01-12,2025-01-12 11:30:00
202510,48124,C02478912,Michael,Chen,1,2025-01-10,2025-01-10 08:20:00
202510,48124,C02734598,Amanda,Anderson,1,2025-01-10,2025-01-10 09:15:00
202510,48124,C03214567,Brandon,Moore, 1,2025-01-12,2025-01-12 13:10:00
202510,48124,C03289751,Samantha,Jackson,1,2025-01-13,2025-01-13 10:00:00
202510,48124,C03348952,Justin,Thompson,7,2025-01-10,2025-01-30 15:05:00
202510,48125,C02512384,Emily,Rodriguez,1,2025-01-10,2025-01-10 08:25:00
202510,48125,C02923147,Matthew,Harris,1,2025-01-11,2025-01-11 09:40:00
202510,48125,C03412573,Megan,Martinez,1,2025-01-13,2025-01-13 11:20:00
202510,48125,C03478123,Tyler,Robinson,1,2025-01-14,2025-01-14 12:35:00
202510,48125,C03541298,Kayla,Clark,1,2025-01-14,2025-01-14 14:50:00
